Hours_Studied,Previous_Score,Result
11,42,1
5,50,1
12,41,1
9,40,1
1,36,1
4,67,1
9,47,1
12,69,1
8,72,1
1,83,0
12,62,1
3,48,0
6,41,1
2,57,0
10,51,1
12,64,1
7,40,1
11,74,1
6,71,1
2,37,0
5,40,0
2,59,1
11,88,1
6,57,1
5,79,1
11,39,1
3,69,1
3,64,1
11,79,1
11,55,1
1,49,0
6,60,1
4,93,1
12,55,1
8,60,1
11,64,1
3,50,0
9,51,1
7,92,1
6,49,0
3,67,1
1,90,1
11,45,1
7,73,1
7,73,0
9,51,0
1,78,0
11,91,1
5,84,1
2,53,1
8,35,0
12,51,0
3,67,0
11,54,1
9,73,1
6,83,1
9,93,1
6,66,1
6,91,0
5,50,1
10,95,1
12,66,1
9,84,1
11,65,1
3,51,1
10,62,0
9,83,1
4,80,1
11,76,1
9,63,1
4,39,1
10,70,1
4,35,1
11,38,1
1,90,1
9,50,1
8,48,1
12,94,1
10,65,1
8,86,1
2,41,0
6,62,1
12,38,1
11,41,1
12,56,1
2,50,1
9,63,1
3,52,1
2,63,0
9,41,1
9,88,1
2,94,1
4,45,1
8,48,1
1,45,0
7,51,1
8,53,1
12,85,1
12,66,1
5,48,0
